tweet,avgProfileScore,favourite_count,hashtags,isRetweet,maxScore,retweet_count,urls,SA,label
NASW wishes you happy and safe holidays and a prosperous New Year. Listen to this holiday message from NASW CEO Angelo McClain as he talks about NASW accomplishments in 2017 and the challenges the association will tackle in 2018: https://t.co/QV51c3pomv https://t.co/7oHVLN2UEj,6.35577996,8,0,1,7.767687277,12,1,1,5
NASW wishes you happy and safe holidays! https://t.co/MIbuWYmKTR,4.020431387,12,0,1,5.726847748,4,0,1,3.134727913
Health insurance enrollment opportunities for 2018 end tomorrow in most states.  Be sure you are covered!  Visit https://t.co/Zq3EWjZiZs https://t.co/NmtQ6yTMTf,6.090392522,4,0,1,8.83025057,6,1,1,2
TODAY at 1 P.M. EST: Voice Awards and @TAPSorg to co-host a Twitter chat about mental health and substance use challenges facing military families and veterans. #VoiceAwardsChat https://t.co/eNGOYXHVtj,5.822134733,4,1,1,6.246106765,2,0,-1,3
An official at @samhsagov  says our nation desperately needs more mental health professionals such as social workers. Learn more about this workforce crisis in NASW News: https://t.co/jN54v6QzJQ https://t.co/ivE4zAmC6P,5.023930286,12,0,1,7.59739632,13,1,1,7
RT @NewStepsCounsel: @nasw @nasw Thank you for this awesome opportunity to share about Mental-Hop. Mental-Health &amp; Hip-Hop is a powerful fo…,9.489374573,6,0,0,10.59645972,2,0,1,4
RT @SocialWorkersRJ: Only a few more days of #ACA open enrollment in some states. Here are resources social workers can use to ensure peopl…,6.662290274,5,1,0,10.59643471,5,0,1,5
"RT @NASWMA: Run for a Chapter leadership position! Applications are due this Friday, 12/15! https://t.co/jwNP6FsAT2 https://t.co/LPKndH3J3P",8.522855772,3,0,0,10.59643471,3,1,-1,1
"Learn how Social Worker Dr. Randy Sconiers @NewStepsCounsel
is using Hip hop music and rap to get clients to open up about mental health on NASW's https://t.co/7rcH5lYmMy: https://t.co/swf5ZlTaQa https://t.co/fcI4vvrevR",4.86745822,25,0,1,7.733245647,8,2,-1,5
A federal judge today denied @realDonaldTrump request to delay military from accepting transgender recruits starting Jan. 1. NASW supports transgender personnel in the military and issued this statement in July https://t.co/kDv29Bgnp7,5.640080468,61,0,1,10.68171091,24,1,-1,5
SAVE THE DATE: Voice Awards and @TAPSorg to co-host a Twitter chat about mental health and substance use challenges facing military families and veterans on 12/13 at 1 p.m. EST. #VoiceAwardsChat https://t.co/zwaSYakqYt,0,0,1,1,0,0,0,-1,0.5
Watch this upcoming NASW mini-documentary on how social workers help people achieve healthy minds and bodies. It will air nationally beginning in January: https://t.co/zm8j1H05PI,5.941543656,33,0,1,8.381831553,21,1,1,4.472337521
RT @SSWAlliance: An oldie but goody: The @nasw Code of Ethics was updated this year. It is intended to serve as a guide to the everyday pro…,7.172759281,10,0,0,10.59643471,6,0,-1,0.936919399
Just a week remains before #ACA enrollment period ends! Social workers can use these resources to get people enrolled for health care coverage: https://t.co/dPYIz6Dzm7 https://t.co/U7Lvb4qAKW,6.240923222,15,1,1,9.177920481,22,1,1,4.91188437
"NASW urges you join fight to defeat the Tax Cuts and Jobs Act, which benefits the rich and businesses at the expense of people who are low-income, the middle class, older Americans, single mothers and others. Call your senators and House members today! https://t.co/cDaiTAYhXl.",5.903771315,24,0,1,8.381831553,22,1,1,4.388560287
"RT @NASWNYC: Introduction of International #Violence Against #Women Act c/o @nasw 
https://t.co/XSGux5WYb4

#socialworkinthecity #genderequ…",10.59643471,2,3,0,10.59643471,2,1,0,4.159286943
Social Work Month gear make perfect holiday gifts! Check that out at https://t.co/HKhudGTwon https://t.co/Xqo2IcevAv,7.259345893,5,0,1,8.381831553,3,1,1,4
RT @signsforchange: 2017 Highlight: @YashiBrown orchestrated a group poem for the Campaign to Change Direction.  She took supporter's lyric…,7.052371807,22,0,0,10.59643471,4,0,1,3
RT @SSWAlliance: ONE MONTH left to apply for our Ambassador Program. Build skills to inform policy &amp; influence strategy. https://t.co/q6bB0…,6.237647173,3,0,0,10.59643471,5,0,0,1
"RT @NASWNYS: Members, you're invited to assist NASW-NYS in its strategic planning process by filling out a quick survey. Our goal is to use…",10.59643471,4,0,0,10.59643471,1,0,1,3
Thanks for highlighting the benefits of joining @nasw! https://t.co/Pkc4NWjal9,5.935775253,7,0,1,6.208590026,2,1,1,3.5
Important news for Massachusetts social workers. https://t.co/aT5G5vLCUe,0,1,0,1,0,0,1,1,2.51
The deadline for submitting a proposal to present at the 2018 NASW National Conference has been extended until tonight at 11:59 p.m. To submit: https://t.co/X8Y52rtcWW #nasw2018 https://t.co/zJCO8MwsA0,0,1,1,1,0,0,1,0,4
Open Enrollment for health insurance plans on the marketplace ends on Dec. 15!  Have you consulted https://t.co/Zq3EWjZiZs? https://t.co/xPDPrjogOB,5.399850832,12,0,1,7.705712824,17,1,0,5
NASW joins @APA in filing amicus brief in U.S. Supreme court same-sex wedding cake case; brief urges court to protect people who are LGBT from discrimination and cites scientific evidence on sexual orientation: https://t.co/iLnqe0gbqt https://t.co/aTqcQDIBF0,5.352473648,16,0,1,8.83025057,10,1,1,7
"RT @socworkpodcast: @NASW member and @LoyolaSSW prof @socworkpodcast quoted in @WTOP article about youth #suicide.  ""Teen suicides in Montg…",5.456692944,4,1,0,10.59643471,4,0,0,3
RT @NASWNC: Coming Jan. 1! Congrats @NCCouncil1 for this big move! We look forward to working with you in this new capacity! https://t.co/8…,5.855878713,8,0,0,10.59643471,5,0,1,2
RT @NASWNYS: Call Congress today to stop the Tax Cuts and Jobs Act. Your voice is vital in this effort as we work to stop H.R. 1: Tax Cuts…,7.388643177,7,0,0,10.59643471,3,0,1,3
RT @NASWNYS: Don't forget LMSW &amp; LCSW Test Prep Courses are now available through @NASWNYS. Our prep courses will be delivered as live webi…,8.76784433,4,0,0,10.59643471,2,0,1,3
"NASW opposes confirmation of @JusticeWillett to US Court of Appeals for the 5th Circuit. Willett's positions on women's rights, LGBT rights, health care, voting rights and affirmative action raise deep concerns. Our full statement: https://t.co/iL6Qpytxyd https://t.co/6TIbZh8BZU",5.589301888,6,0,1,6.939253946,7,1,1,5
Watch NASW's upcoming mini-documentary on how social workers team with physicians to help people improve their health and mental health and learn more about @nasw Healthy Minds &amp; Bodies campaign: https://t.co/40QjUxEerV https://t.co/z8OCvHRwD3,5.357551394,44,0,1,9.463198053,22,1,1,6
Social workers help stop the Tax Cuts and Jobs Act! It hurts people who are middle class and low income and gives the rich and businesses a permanent windfall. Here is how you can take action. Call or emal Congress today! https://t.co/YcBlZQENvu https://t.co/zhQTzVcJLc,5.000271574,20,0,1,8.381831553,17,1,1,5
"RT @NicoleClarkLMSW: .@nasw has extended the call for proposals for the 2018 NASW National Conference- ""Shaping Tomorrow Together""- to this…",7.419680082,6,0,0,10.59643471,4,0,0,1
"RT @NASWNYS: SUFFOLK &amp; NASSAU DIVISION MEMBERS! Be sure to register for your region's upcoming networking and CE  event on Thursday, Decemb…",8.129697597,3,0,0,10.59643471,2,0,1,2.922613231
RT @NASWMN: ICYMI: @nasw released a statement opposing the Tax Cuts and Jobs Act. Read more: https://t.co/oy010TgFzo,8.249534023,2,0,0,10.59643471,2,1,1,3.424596874
"""Informed"" with @RobLowe created mini-documentary with @nasw on how social workers help improve mental health and team with doctors to promote healthy minds &amp; bodies. Watch film and check out additional resources, tips: https://t.co/40QjUxEerV https://t.co/oYB0W1fzA2",5.839855141,6,0,1,7.767687277,3,1,1,3.950754242
"NASW seeking volunteers to help revise “Clinical Social Workers in Private Practice: A Reference Guide."" People interested in post should be actively working in private practice for at least 10 years. To learn more and submit your resume: https://t.co/V0NYDmCBIa https://t.co/eD3r6PL4U8",6.0082535,15,0,1,9.154616223,10,1,1,4
